Name,Overall,Potential,InternationalReputation,Skill,WorkRate,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,ShotPower,Stamina,Strength,LongShots,Aggression,Interceptions,Penalties,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Position
L. Brook,61,75,1,2,99,31,29,59,38,33,30,28,30,39,63,61,45,43,57,72,25,54,55,42,68,64,14,8,14,6,12,3
M. Knox,62,75,1,2,99,40,34,55,60,40,53,44,49,54,61,52,61,52,60,70,41,62,60,46,63,59,15,8,6,9,7,3
E. Ceide,64,75,1,1,99,14,12,34,22,10,11,14,28,18,35,30,39,23,35,67,13,42,15,22,12,14,67,59,61,61,68,4
L. Orbán,64,74,1,2,9999,59,58,48,66,66,65,54,66,67,73,75,68,68,58,47,68,62,58,45,59,49,7,11,7,12,13,2
A. Hamdallah,65,74,1,3,66,67,61,44,64,49,67,50,62,64,74,70,68,63,59,48,50,69,45,55,32,30,13,13,12,7,7,2
Duirval Diniz,65,74,1,2,66,57,26,46,71,25,49,32,66,60,71,72,71,49,83,60,40,68,71,36,65,55,15,11,6,12,12,3
Arribas,61,74,1,2,66,30,23,60,57,34,42,42,58,54,50,68,50,60,65,75,30,64,58,45,60,56,14,8,8,10,14,3
G. Lezcano,71,74,1,3,66,56,44,45,71,61,66,52,67,67,69,67,61,55,82,64,37,69,72,45,69,73,8,13,12,7,13,2
Bebeto,68,74,1,3,66,67,65,38,66,54,71,65,63,70,75,78,75,64,61,49,67,52,30,57,37,35,8,14,11,14,6,2
L. Sobiech,63,74,1,2,66,42,58,47,58,42,54,38,53,60,73,72,72,45,74,67,49,72,65,50,65,60,16,10,15,11,15,2
Guerrero,66,74,1,3,66,63,30,62,64,29,65,47,60,63,77,80,71,52,78,79,33,68,62,32,64,63,14,14,7,12,11,3
K. Boutaïb,68,74,1,2,66,49,23,51,50,29,52,61,47,55,72,73,77,54,76,62,40,74,69,49,74,75,14,16,14,11,8,3
M. Krohn-Dehli,67,74,1,2,66,57,45,49,72,41,53,45,70,62,67,69,67,64,80,66,74,56,59,52,71,65,11,10,12,10,14,2
J. Vossen,64,74,1,2,66,28,23,66,28,27,22,23,25,29,55,61,46,39,78,69,22,71,66,37,65,69,12,11,13,6,13,3
M. Pasqual,57,74,1,2,66,39,49,51,63,42,59,41,58,63,63,65,62,52,63,73,47,41,43,44,54,49,8,8,11,13,8,2
Da Costa,64,74,1,2,66,27,21,60,55,29,29,27,51,30,60,63,46,40,64,78,17,71,59,42,66,67,8,8,6,14,12,3
D. Kolá?,64,74,1,2,66,33,18,62,51,28,32,25,45,42,65,68,60,37,66,77,21,70,55,31,64,62,13,10,13,7,6,3
T. Melia,67,74,1,2,66,34,22,51,66,24,43,27,58,62,47,49,54,50,72,79,29,84,64,47,70,65,14,9,12,12,9,2
A. Di Gaudio,65,74,1,2,66,42,38,72,68,40,55,43,68,74,50,37,53,65,71,77,55,60,52,51,71,61,16,10,7,15,12,2
V. Demirel,74,74,1,2,66,40,50,73,63,50,50,48,62,60,63,70,63,64,70,81,49,73,72,55,75,73,15,12,13,9,6,3
Edercinho Sepa,71,74,1,2,66,39,41,83,65,22,41,46,61,54,40,65,52,69,73,85,41,66,62,31,68,65,15,13,14,12,10,3
J. Chester,70,74,1,2,66,27,24,75,57,24,42,23,48,48,47,52,37,49,63,90,32,71,67,30,71,68,15,9,11,15,10,3
D. Sakho,68,74,1,3,99,54,62,37,65,50,68,60,60,68,80,74,86,64,60,33,66,53,20,57,21,16,6,15,16,16,11,2
M. Waris,61,74,1,3,99,63,41,57,64,51,67,45,58,67,71,75,56,64,54,56,58,52,42,60,60,59,12,11,9,14,15,3
T. Matavž,73,74,1,3,99,56,68,29,73,52,72,49,65,72,84,77,83,63,48,42,65,43,29,56,22,30,10,7,14,8,11,2
Y. Khacheridi,65,74,1,2,99,57,52,49,62,48,63,44,59,62,88,91,81,57,62,43,51,55,38,43,38,44,6,13,12,7,12,2
J. Hoilett,63,74,1,3,99,54,57,31,63,59,70,63,53,66,75,68,85,55,46,33,53,34,21,63,21,11,7,6,16,13,13,2
Pascoal Muscato,60,74,1,2,99,60,46,54,61,41,63,52,45,61,77,77,75,54,63,50,50,50,50,50,57,53,7,7,14,10,12,2
J. Furch,69,74,1,3,99,62,64,57,63,64,66,67,50,66,77,82,85,63,79,58,65,57,21,56,32,30,8,8,7,12,6,2
Fransérgio,65,74,1,2,99,61,32,55,63,31,59,34,55,64,73,72,72,36,76,59,31,61,60,35,65,63,10,9,9,12,11,3
Anselmo,60,74,1,2,99,59,31,58,64,33,59,37,62,62,75,75,69,65,60,75,45,68,58,45,64,56,8,8,10,13,11,2
Daniel Candeias,60,74,1,2,99,38,32,51,63,38,58,41,62,61,66,62,57,65,68,65,62,63,54,40,51,43,5,5,6,10,8,2
André Sousa,59,74,1,2,99,35,61,43,42,47,62,40,30,54,83,85,71,58,55,65,52,66,25,58,11,14,12,14,10,13,8,1
M. Casco,62,74,1,2,99,40,29,46,31,36,64,35,36,47,76,76,60,28,75,32,27,74,72,42,64,67,9,11,13,10,6,3
Caio Milaçar,64,74,1,2,99,60,48,59,60,40,65,57,58,62,82,77,91,56,82,62,51,56,53,46,60,62,10,13,7,13,12,3
O. Norwood,64,74,1,2,99,58,55,53,64,39,64,45,62,64,81,80,84,64,70,50,57,59,43,52,61,59,7,6,10,6,8,2
C. Träsch,66,74,1,4,99,62,55,38,64,59,71,66,56,70,79,73,81,63,59,58,61,41,39,57,34,35,16,12,8,16,15,2
Eduardo,66,74,1,3,99,56,58,56,60,40,68,47,47,60,91,90,87,54,77,63,43,34,40,51,49,47,11,7,10,15,16,2
M. Andújar,71,74,1,3,99,59,53,58,74,56,71,66,70,74,61,60,64,73,72,67,66,73,72,57,73,67,9,9,11,8,9,2
M. Andreolli,67,74,1,3,99,53,67,73,67,61,61,58,63,68,63,65,64,71,61,73,63,47,23,42,22,18,14,12,6,12,9,1
A. Chahechouhe,74,74,2,3,99,73,57,69,72,53,71,64,67,79,74,79,75,79,89,73,80,68,75,59,73,74,13,9,13,10,14,3
J. Pivari?,74,74,1,2,99,74,58,58,77,69,62,72,82,75,59,55,68,77,69,58,73,69,72,70,72,70,16,16,7,7,12,2
Elias Fontoira,65,74,1,2,99,62,56,62,69,48,58,32,67,56,70,71,74,64,69,58,62,67,65,49,63,59,7,10,9,14,13,2
E. Saric,62,74,1,2,99,35,25,65,48,29,35,32,38,49,49,54,44,43,59,72,24,61,59,45,64,60,15,14,13,11,13,3
S. Al Faraj,64,74,1,2,99,64,24,59,52,28,46,35,43,59,72,74,69,43,73,54,25,54,62,46,64,63,13,14,6,12,6,3
Joselu,61,74,1,1,99,16,19,19,30,19,16,12,21,20,45,45,31,20,29,60,17,25,27,27,19,12,63,60,60,57,62,4
G. Svensson,60,74,1,2,99,55,26,54,56,31,66,51,49,51,75,78,55,35,70,66,34,54,57,40,55,57,11,6,11,11,11,3
Enaldo Praz,62,74,1,2,99,35,21,62,37,35,33,36,28,49,39,50,43,48,57,67,22,52,61,44,67,66,8,10,12,10,15,3
L. Griffiths,70,74,1,3,99,66,37,60,64,38,65,43,50,64,90,87,77,66,74,68,58,66,67,53,66,68,6,10,8,14,8,3
W. Katsande,74,74,2,3,99,74,51,60,71,54,69,66,66,72,75,75,80,71,72,65,63,69,75,48,72,74,11,12,11,16,8,3
S. K?r?nt?l?,70,74,1,3,99,67,68,69,65,45,70,63,60,70,86,91,89,67,81,63,55,35,35,64,27,24,9,9,9,11,10,2
C. Berra,70,74,1,3,99,64,69,42,68,56,72,63,65,69,86,79,87,58,78,62,63,38,31,62,51,37,12,13,14,15,6,2
A. Beck,54,74,1,2,99,48,34,37,50,42,51,38,52,54,71,76,58,52,47,44,38,30,20,47,29,38,8,12,14,6,12,2
D. Royer,63,74,1,2,99,28,24,63,48,20,58,23,46,63,60,64,57,38,74,77,22,42,58,39,66,64,7,7,9,7,15,3
N. Sánchez,68,74,1,3,99,67,64,59,69,56,70,54,64,72,84,87,87,62,74,47,58,38,59,44,53,48,10,7,12,12,14,2
N. Benezet,74,74,1,3,99,63,73,66,68,65,75,49,59,75,91,92,83,74,66,62,73,72,36,65,33,34,3,3,3,3,3,1
O. ?ahan,67,74,1,3,99,59,53,44,61,33,71,53,58,63,91,87,83,54,82,50,51,54,54,37,41,37,12,10,13,13,13,2
M. Besler,63,74,1,2,99,60,21,53,56,28,55,35,33,52,61,60,57,45,60,57,22,45,64,37,70,68,10,14,5,7,12,3
A. Aguilar,63,74,1,2,99,32,21,57,59,23,43,22,65,55,65,70,70,32,59,63,27,67,62,24,63,65,13,11,11,12,8,3
B. Poulain,71,74,1,3,99,72,67,55,70,47,71,39,68,70,79,79,72,50,72,65,61,33,63,49,65,62,21,17,18,30,33,2
Y. Nagatomo,61,74,1,3,99,46,56,54,62,43,64,47,54,65,69,69,66,63,74,67,55,63,59,50,61,56,8,14,14,7,14,2
Raúl Fernández,66,74,1,2,99,60,40,58,58,22,52,25,39,62,76,68,73,43,76,69,38,50,64,40,66,65,7,13,5,7,10,3
Alberto,67,74,1,2,99,66,35,57,62,31,57,41,53,63,74,78,68,46,75,64,32,66,59,36,69,65,16,16,8,15,11,3
C. Hourihane,68,74,1,3,99,74,42,64,66,41,64,74,61,65,68,73,61,45,64,66,43,56,64,46,69,67,6,11,8,11,9,3
Jailson Caeiro,74,74,2,4,99,67,71,35,68,49,77,58,64,77,82,79,87,74,77,60,70,51,52,70,44,36,9,10,9,8,11,2
D. Chará,67,74,1,3,99,53,67,62,59,65,63,68,52,65,74,73,69,67,62,65,63,34,24,73,23,24,9,15,14,8,16,1
T. Mykhalyk,70,74,1,3,99,72,28,56,68,36,71,61,60,70,78,76,77,56,82,65,48,66,66,30,70,68,9,11,12,14,11,2
Alexis,68,74,1,3,99,67,62,59,70,57,70,53,68,69,69,67,66,63,69,61,66,27,53,69,41,39,5,12,13,10,6,2
E. Puch,64,74,1,3,99,59,57,55,63,58,66,52,54,67,75,79,73,62,64,55,63,46,58,63,65,61,12,9,8,9,10,3
Kel Perinho,61,74,1,2,99,33,29,57,54,25,53,44,48,52,55,56,48,46,65,72,24,76,56,36,59,57,8,15,12,13,9,3
M. Estigarribia,65,74,1,2,99,55,66,58,56,63,67,56,46,62,74,83,69,74,63,56,55,31,15,62,20,14,10,13,8,9,12,1
Hugo Goiteira,71,74,1,2,99,75,41,66,69,30,61,41,55,71,77,72,71,50,84,64,41,71,65,33,75,72,13,16,11,7,12,3
Fábio Melitinho,69,74,1,3,99,51,52,58,73,48,66,56,70,66,64,69,76,65,80,71,62,67,69,57,65,60,6,13,13,12,11,2
T. Sippel,73,74,1,2,99,72,36,60,72,35,62,57,54,68,76,78,67,55,77,71,32,69,72,48,73,71,9,12,11,8,7,3
J. Buffarini,74,74,1,3,99,70,67,64,71,76,76,83,64,73,88,87,85,80,77,60,72,62,40,67,35,33,12,12,13,15,13,2
N. Silva,74,74,1,4,99,64,73,46,73,63,75,66,69,74,78,75,66,68,79,63,70,38,29,34,42,39,6,7,15,13,12,2
Castro,64,74,1,2,99,26,16,61,57,26,22,23,27,56,67,51,43,35,67,66,24,64,66,35,65,70,14,9,14,9,11,3
M. Hedges,62,74,1,2,99,40,39,65,57,35,49,43,53,58,69,70,60,50,72,75,33,61,56,39,60,58,10,7,13,13,11,3
João Pereira,62,74,1,3,99,62,60,41,61,50,68,51,49,64,72,70,75,66,48,35,46,28,20,65,34,34,5,6,9,11,11,2
Osvaldo Lodeiro,64,74,1,2,99,66,28,60,62,27,63,48,27,60,73,71,63,39,53,57,33,51,58,42,68,66,12,6,8,11,10,3
Míchel,65,74,1,2,99,46,45,49,71,46,59,39,67,66,67,67,60,59,68,62,53,58,53,45,60,52,12,8,9,15,11,2
Fernandão,62,74,1,2,99,39,64,48,49,37,58,38,42,61,86,91,70,60,73,58,57,27,18,59,21,18,12,9,10,7,15,1
O. Martínez,73,74,1,4,99,70,59,58,68,65,76,63,65,71,92,87,88,68,74,56,70,73,34,69,17,18,10,12,10,14,8,2
J. Kembo-Ekoko,62,74,1,2,99,35,66,62,57,40,62,32,48,64,70,71,68,54,64,73,49,49,43,61,16,14,11,9,13,7,13,1
S. An?elkovi?,61,74,1,2,99,50,49,55,68,36,58,41,63,61,61,67,66,62,61,61,55,55,53,56,57,58,6,6,13,14,12,2
A. Katai,63,74,1,3,99,46,63,52,54,59,66,39,44,64,77,80,82,58,63,34,62,37,19,68,21,17,11,6,13,6,14,2
Fabiano Sonta,65,74,1,3,99,65,62,47,64,50,69,65,58,66,83,79,83,60,69,65,58,38,20,48,30,27,11,13,11,10,11,2
A. Ioni??,74,74,1,4,99,77,47,63,75,73,78,74,69,75,76,84,79,69,75,65,70,75,60,70,69,69,13,13,16,14,7,2
Seoane,66,74,1,3,99,49,66,68,57,59,63,51,43,68,71,75,68,64,59,69,58,39,26,60,22,29,8,13,10,8,7,1
C. Pizarro,74,74,3,3,99,39,40,76,70,50,61,51,68,62,67,63,62,60,67,76,59,76,72,57,74,70,6,14,15,13,11,3
Ivo,74,74,3,2,99,32,37,71,63,34,57,34,73,61,43,49,52,64,54,83,40,85,74,45,69,70,7,10,16,7,10,3
L. Sané,61,74,1,3,99,57,38,39,54,43,62,40,50,61,76,79,65,64,75,72,53,54,57,36,58,57,9,14,5,6,10,3
Iñigo Pérez,66,74,1,2,99,51,41,58,70,39,48,46,63,61,65,57,62,59,73,72,44,71,70,47,61,49,11,11,8,14,6,2
D. Kreilach,62,74,1,3,99,58,32,51,55,28,63,50,52,60,80,78,73,41,77,63,35,58,57,41,59,58,8,14,11,14,9,3
Davidson,60,74,1,3,99,58,52,42,63,57,63,58,63,64,55,55,63,66,67,34,51,38,56,52,43,43,11,7,10,7,11,2
Dídac Vilà,69,74,1,3,99,69,54,60,73,49,72,61,69,76,64,53,63,75,55,63,73,70,50,45,49,49,6,14,7,12,12,2
E. Didot,69,74,1,2,99,58,45,68,71,36,60,56,67,65,62,66,64,59,73,72,55,65,69,44,68,67,9,11,12,14,14,2
Marlon Nideiro,74,74,1,3,99,69,61,55,76,67,74,80,72,76,68,63,66,78,77,75,75,72,68,59,60,55,15,8,6,8,8,2
Jacson Zonta,72,74,1,3,99,56,71,67,65,73,71,58,40,72,74,75,75,73,65,76,67,80,28,64,24,19,7,8,13,10,14,1
R. Fanni,74,74,1,4,99,68,66,59,75,70,77,63,60,77,87,88,82,68,72,65,69,57,36,58,40,26,15,10,10,13,8,2
A. Diamanti,74,74,1,3,99,69,74,78,77,64,73,62,71,73,64,69,63,75,90,82,73,71,73,65,64,58,9,14,15,10,14,2
Leo Caldeirinha,74,74,1,2,99,55,51,73,68,44,44,54,72,62,52,55,54,43,62,81,51,76,71,66,69,73,9,14,13,8,10,3
Alvildo Sousa,64,74,1,2,99,57,37,53,60,29,60,37,45,60,76,73,68,53,69,69,45,55,58,49,66,65,8,8,9,12,9,3
Y. Kaboul,65,74,1,3,99,48,62,65,63,56,69,40,41,71,78,74,73,60,54,67,58,52,24,47,21,22,11,10,13,10,11,1
R. Meggiorini,66,74,1,1,99,10,9,14,21,6,9,13,16,11,33,26,29,17,20,63,6,22,8,12,11,10,68,65,60,66,64,4
B. Sagna,68,74,1,3,99,62,56,49,69,47,71,68,65,72,62,59,75,65,67,64,67,55,55,48,62,60,16,15,8,12,11,2
Rafael Vaz,74,74,1,3,99,58,77,75,62,70,72,53,52,72,71,75,70,72,60,79,64,67,37,73,23,22,12,10,9,13,16,1
Robson Denho,68,74,1,2,99,29,27,72,56,36,29,33,41,49,55,59,39,61,63,80,28,71,65,47,68,62,12,15,8,10,8,3
Renatinho,64,74,1,3,99,22,66,69,60,57,64,51,40,69,54,54,58,68,54,74,64,47,24,55,17,18,12,10,11,7,12,1
Claudiano Sobrino,68,74,1,3,99,63,74,47,67,60,73,54,57,67,90,87,78,70,70,70,55,61,31,67,30,31,16,13,16,6,15,1
S. M'Bia,74,74,1,2,99,54,34,68,79,32,62,35,76,66,42,49,52,70,79,77,67,78,69,40,75,68,11,14,9,14,9,2
Hélton Celanova,74,74,1,3,99,75,58,62,73,59,76,77,67,74,95,94,80,76,80,74,68,70,63,64,70,67,11,12,13,15,11,3
S. Sosa,57,74,1,3,99,46,46,39,62,37,57,42,52,58,62,69,66,50,51,43,57,61,29,40,37,35,10,14,6,10,10,2
Erick Gameira,60,74,1,3,99,60,56,42,53,47,61,48,56,60,87,82,77,61,55,52,51,34,17,50,23,27,11,14,5,13,13,2
M. Jajalo,60,74,1,2,99,55,53,41,66,39,62,45,60,61,66,68,80,54,69,38,37,39,37,46,37,44,12,12,11,12,12,2
G. Bong,60,74,1,2,99,39,62,57,57,44,52,41,41,54,64,72,59,58,55,60,59,32,16,64,19,19,11,8,9,9,9,1
N. Hult,60,74,1,3,99,53,63,30,50,48,65,61,40,60,75,78,75,63,65,60,60,59,30,58,40,38,13,7,6,9,15,2
P. Verhaegh,62,74,1,3,99,47,52,43,66,48,63,49,60,66,69,67,62,57,72,79,49,52,56,53,52,54,6,5,6,14,12,2
Jadson Vidigal,66,74,1,1,99,18,16,16,27,16,16,16,24,19,38,40,37,20,33,67,16,25,15,22,11,14,63,66,67,64,68,4
I. Nestorovski,74,74,2,3,99,74,27,64,63,44,68,68,64,71,67,76,50,74,79,86,66,80,72,37,78,78,12,8,9,9,14,3
L. Narsingh,69,74,1,2,99,44,16,67,68,24,36,31,61,48,50,62,51,42,66,81,17,61,63,47,73,69,8,9,11,12,16,3
L. Robles,63,74,1,1,99,17,19,9,26,12,11,18,19,21,33,39,38,20,23,57,14,19,8,16,9,8,65,59,60,63,64,4
A. Erokhin,71,74,1,3,99,48,70,71,65,76,71,66,39,77,48,54,65,72,64,78,66,53,19,63,20,25,13,8,13,13,6,1
B. Ecuélé Manga,72,74,1,3,99,46,71,78,74,68,65,48,59,72,46,62,61,71,77,85,58,71,20,72,25,20,11,16,11,12,8,1
Edvaldisco,68,74,1,3,99,63,67,56,66,44,67,68,51,67,77,75,75,67,59,63,53,56,21,69,21,12,9,15,11,7,13,2
G. Sakai,68,74,1,2,99,39,65,72,63,51,68,31,31,62,73,79,67,71,64,81,56,58,32,66,36,27,13,10,9,6,11,1
R. Rosales,69,74,1,2,99,33,23,79,52,31,44,31,56,43,37,55,36,40,42,86,28,72,65,41,69,65,10,7,12,15,9,3
J. Dueñas,71,74,1,2,99,40,74,72,57,72,60,64,42,63,79,72,61,73,67,72,67,49,14,67,16,16,15,16,15,7,7,1
N. De Préville,63,74,1,2,99,31,61,66,54,52,61,38,30,63,68,75,53,67,51,82,52,61,18,61,21,18,8,10,10,9,8,1
P. Aguilar,74,74,2,1,99,13,20,12,22,11,11,11,32,32,42,41,58,38,18,69,18,28,22,37,20,20,73,73,71,76,73,4
P. Barrientos,72,74,1,3,99,65,71,66,75,70,76,68,71,77,53,53,55,76,65,77,72,46,28,55,19,27,8,12,11,9,10,1
H. Rodallega,69,74,1,1,99,19,14,19,21,12,19,14,45,24,49,39,38,24,44,63,12,32,15,23,17,16,72,64,65,65,73,4
A. Epureanu,70,74,1,3,99,63,26,60,66,37,66,59,64,65,78,79,72,57,78,61,40,66,66,59,68,70,7,7,15,13,11,3
M. Caraglio,64,74,1,2,99,53,49,56,45,39,60,37,48,59,81,82,76,68,73,68,47,65,63,47,65,60,12,7,12,14,10,3
A. Boruc,74,74,2,3,99,71,60,53,77,56,71,71,73,73,67,64,73,77,77,70,76,85,68,54,70,64,7,11,11,15,15,2
C. Gordon,67,74,1,3,99,55,48,59,67,38,64,53,68,67,71,66,84,62,77,74,58,71,62,45,65,69,11,11,6,7,11,2
A. Ramírez,73,74,1,3,99,66,71,68,68,65,73,63,44,73,78,79,83,68,90,85,66,73,42,69,39,24,9,12,10,15,16,1
M. Cabrera,63,74,1,3,66,60,54,39,66,41,63,57,64,67,60,56,67,56,65,48,52,58,51,42,50,48,7,10,12,11,13,2
N. Rigoni,74,74,2,2,66,66,44,68,70,33,66,55,66,71,63,65,64,67,65,79,58,71,76,57,71,71,16,12,8,16,15,3
Sebas Couteira,61,74,1,2,66,30,23,62,56,30,33,29,45,40,52,52,42,45,59,70,21,60,58,45,62,59,9,6,6,12,10,3
R. Shawcross,64,74,1,3,99,64,32,51,61,51,65,58,57,63,77,71,68,49,78,47,48,58,56,45,57,59,14,14,11,11,7,3
David Simão,64,74,1,3,99,53,53,57,52,67,62,63,48,64,91,91,90,66,69,45,57,38,32,65,35,32,12,5,12,9,12,2
C. Rius,64,74,1,2,99,52,60,48,68,53,61,48,63,63,62,62,61,65,66,51,58,58,60,57,65,63,13,14,10,13,9,2
Kauã Abranches,60,74,1,3,99,41,63,38,68,43,66,38,64,65,76,70,72,62,34,57,51,42,54,32,66,66,12,12,12,13,6,2
A. Gyan,62,74,1,2,99,56,39,52,57,32,49,38,40,51,72,71,65,56,65,61,41,60,64,44,61,63,15,14,15,7,14,3
D. Simpson,64,74,1,2,99,60,32,48,57,36,60,40,53,58,77,73,74,43,76,66,39,55,55,42,62,64,15,14,13,9,7,3
J. B?aszczykowski,61,74,1,2,99,54,32,52,41,34,65,43,30,57,76,68,53,30,63,55,37,62,59,41,69,64,12,14,7,11,14,3
J. Beausejour,65,74,1,2,99,55,33,56,68,45,55,48,63,66,70,70,73,62,71,53,50,68,62,48,65,60,8,13,10,14,7,2
J. Livermore,60,74,1,1,99,14,10,12,24,10,10,14,29,11,25,33,45,60,45,68,10,17,10,19,10,14,65,57,50,57,63,4
Nicolás Formido,61,74,1,2,99,54,63,51,59,57,66,42,51,60,77,79,62,60,61,37,59,38,12,64,16,17,13,5,9,13,13,1
E. Pieters,63,74,1,3,99,60,55,45,64,53,68,61,61,68,72,69,84,59,56,44,38,53,32,57,45,38,7,12,13,14,11,2
Luisinho,63,74,1,2,99,46,26,52,67,30,54,37,63,63,72,69,65,54,69,68,33,74,59,43,65,62,9,6,10,15,13,3
R. Vlaar,64,74,1,3,99,30,58,41,65,51,64,52,62,67,70,77,77,61,91,68,55,39,56,58,55,50,14,10,6,12,10,2
R. van Wolfswinkel,63,74,1,3,99,57,58,43,64,52,70,50,50,68,73,70,77,62,49,54,52,32,25,58,26,25,8,10,7,12,15,2
Ewerton,64,74,1,2,99,56,50,48,59,39,66,38,58,58,80,79,82,50,75,58,49,39,38,43,39,43,14,10,9,11,9,2
Dani Pacheco,63,74,1,3,99,58,61,54,57,54,70,51,45,68,74,79,69,64,58,69,60,47,28,53,19,12,11,14,15,16,9,2
L. Rodríguez,63,74,1,3,99,42,58,39,70,48,66,56,63,70,68,66,64,59,62,57,48,55,46,41,49,55,14,12,9,6,15,2
A. Jahovi?,64,74,1,3,99,54,62,44,57,50,68,63,50,71,73,72,78,60,68,66,58,47,49,40,32,31,6,11,9,10,12,2
M. Britos,64,74,1,2,99,37,34,58,60,34,49,36,58,60,70,64,64,47,74,77,43,68,63,40,68,61,13,13,6,13,9,2
P. Aguedar,65,74,1,2,99,70,47,48,57,43,54,37,49,65,80,76,80,61,71,60,49,72,53,35,62,70,12,12,12,15,14,3
Crespo,63,74,1,3,99,65,59,42,67,45,64,67,63,67,63,64,72,53,64,50,48,38,34,47,35,32,7,14,8,13,7,2
Zainadine,61,74,1,2,99,57,59,45,60,45,65,50,50,62,70,71,72,55,45,45,48,35,30,55,30,33,8,10,11,11,8,2
Bruno Saltor,63,74,1,1,99,11,9,13,26,8,10,12,21,13,34,36,42,25,18,58,6,19,12,19,13,10,63,60,57,61,66,4
Juan Cala,64,74,1,2,99,30,64,62,53,57,52,50,50,56,63,71,67,68,70,80,49,58,20,62,19,17,15,6,13,8,7,1
W. Tesillo,61,74,1,2,99,32,27,58,40,31,35,26,26,40,76,66,47,40,58,74,27,51,59,40,66,65,10,6,9,5,12,3
A. Mariappa,63,74,1,3,99,59,32,60,69,43,69,67,65,69,65,57,67,61,57,53,62,40,52,59,61,58,10,11,12,6,8,2
T. Pukki,61,74,1,3,99,60,42,47,68,52,63,55,56,65,76,67,79,53,58,42,42,39,33,52,41,53,7,7,13,6,13,2
L. Melgarejo,64,74,1,2,99,34,38,58,54,27,29,32,33,51,54,62,41,49,65,72,24,54,65,40,67,63,12,11,8,13,6,3
J. Jones,63,74,1,3,99,56,58,38,58,56,72,57,53,70,78,72,74,70,75,71,63,64,45,53,49,46,10,9,12,10,5,2
I. Sosa,60,74,1,2,99,44,44,54,67,53,55,42,62,57,68,62,87,67,52,38,51,48,47,51,42,38,8,13,13,10,9,2
M. Ekici,60,74,1,2,99,50,47,38,59,46,66,52,54,61,74,68,72,57,69,42,43,41,24,51,33,43,7,14,13,8,14,2
A. Nyom,61,74,1,2,99,46,62,64,54,48,55,49,36,60,63,69,58,64,54,56,56,28,24,60,24,25,15,12,13,12,6,1
K. Konaté,62,74,1,3,99,54,59,50,50,38,66,55,44,60,93,94,71,51,63,59,53,29,19,55,20,15,6,16,8,11,16,2
F. ?or?evi?,64,74,1,1,99,15,15,14,25,14,15,12,21,28,33,43,35,26,26,53,13,25,14,31,16,21,69,59,54,60,70,4
Ruben Lima,65,74,1,1,99,13,14,21,23,13,15,16,21,23,40,42,26,27,45,65,13,27,13,26,16,13,67,64,60,60,67,4
Fábio Espinho,63,74,1,1,99,12,17,18,29,17,15,14,27,23,49,53,34,19,36,80,17,23,22,23,13,21,67,57,56,57,71,4
R. Mora,65,74,1,2,66,25,29,60,50,26,39,18,27,43,64,71,59,30,68,84,16,77,60,38,65,61,14,14,15,14,10,3
D. Lazovi?,64,74,1,3,99,56,62,34,57,50,67,48,50,63,91,91,82,67,65,43,54,35,28,48,32,24,9,6,11,8,9,1
Tana,64,74,1,2,99,63,48,59,63,42,64,51,57,61,69,70,73,52,75,63,54,50,59,42,64,61,6,11,11,13,13,3
L. Grabban,61,74,1,2,99,48,48,51,64,48,63,41,57,64,71,73,70,50,73,63,48,55,57,45,61,50,13,8,12,13,9,2
I. Koné,64,74,1,3,99,59,55,38,65,39,67,54,64,64,71,67,87,68,62,38,62,47,22,49,45,42,13,13,7,9,11,2
J. Hušbauer,64,74,1,3,99,67,46,60,62,49,64,69,55,63,69,71,56,50,79,52,46,65,52,53,65,64,6,14,13,13,15,3
Patric,62,74,1,2,99,56,59,48,57,45,68,50,55,67,79,69,70,58,51,48,43,31,23,64,20,29,7,7,14,15,14,2
P. Diamanka,65,74,1,2,99,57,41,46,57,29,61,35,54,60,74,71,65,28,69,57,29,56,64,45,65,64,13,8,7,10,13,3
D. N'Doye,74,74,2,3,99,86,46,60,78,62,72,82,77,77,67,69,76,72,68,66,62,66,72,50,73,72,6,5,7,12,7,3
I. Afellay,64,74,1,3,99,61,60,38,60,53,70,46,45,66,79,79,80,63,49,49,50,36,25,50,34,29,14,13,8,10,12,2
N. Lombaerts,64,74,1,2,99,36,69,62,56,58,58,46,47,61,76,78,73,54,58,63,51,32,11,61,13,15,6,14,11,10,10,1
A. Sulu,64,74,1,2,99,64,53,46,65,68,62,65,64,64,77,64,72,73,59,55,60,41,22,48,53,49,13,11,6,7,14,2
R. Saïss,65,74,1,3,99,57,47,52,64,44,65,55,61,63,84,85,80,54,75,67,38,66,64,41,61,60,9,9,15,9,9,3
K. Johnsson,64,74,1,3,99,48,65,52,56,58,64,61,54,64,66,61,74,70,74,78,68,41,33,69,21,19,14,12,11,12,7,1
S. Floccari,63,74,1,2,99,58,32,51,45,31,59,40,27,60,73,74,70,35,68,60,29,57,65,42,67,63,14,12,10,6,11,3
S. Prödl,66,74,1,2,99,65,42,63,62,40,61,58,60,63,72,76,72,48,72,73,34,55,63,40,65,62,7,10,10,10,14,3
